Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fsh.ig.json	5096	-	0	0	0	0	0	0	5	579	0	0	0	0	0	0	0	1	0	0	451	62	0	0	0	0	3	0	2
fsh-generated/resources/CapabilityStatement-PatientSummaryCapabilityStatement.json	3533	22	1	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	401	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-assistance-needs-cs.json	1004	20	0	0	0	0	0	0	1	24	0	0	1	0	0	0	0	0	0	0	481	3002	0	0	0	0	1	0	0
fsh-generated/resources/Condition-NeedsAssistanceExample.json	1376	21	1	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	197	25	0	0	0	0	0	0	0
fsh-generated/resources/Patient-ZHI0010.json	754	21	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	201	15	0	0	0	0	0	0	0
fsh-generated/resources/Patient-ZHI0020.json	755	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	197	11	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-AssistanceNeedsQuestionnaire.json	4006	22	0	0	0	0	0	0	1	44	0	0	0	0	0	0	0	0	0	0	432	38	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-MedicationRequestQuestionnaire.json	712	21	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	382	23	0	0	0	0	1	0	1
fsh-generated/resources/QuestionnaireResponse-NeedsAssistanceResponse.json	1285	21	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	211	25	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PatientProfile.json	819	18	0	0	0	0	0	139	0	78	0	0	0	0	0	0	0	2	0	0	563	3746	0	0	0	0	12	0	3
fsh-generated/resources/StructureDefinition-assistance-needs-ext.json	1432	23	0	0	0	0	0	21	0	31	0	0	0	0	0	0	0	0	0	0	381	188	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-assistance-needs-profile.json	4971	23	0	0	1	0	0	113	0	97	0	0	0	0	0	0	0	1	0	0	1807	736	0	0	0	0	9	0	2
fsh-generated/resources/ValueSet-assistance-needs-vs.json	470	14	0	0	0	0	0	0	1	176	0	0	0	0	0	0	0	0	0	0	368	8981	0	0	0	0	1	0	0
